"RunningID","IUID","ScenStart","ScenFut","Endemicity"
4246,"MOZ33102","IA","65A.xIA","Endemic (MDA not delivered)"
4247,"ZMB50822","Rest","65A.xDA","Endemic (MDA not delivered)"
4248,"MDG27899","Rest","65A.IDA","Non-endemic"
4249,"MOZ33112","IA","65A.xIA","Endemic (MDA not delivered)"
4250,"AGO02136","Rest","65B.xxA","Non-endemic"
4251,"MWI28957","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4252,"AGO02133","IA","65A.xIA","Non-endemic"
4253,"AGO02129","Rest","65B.xxA","Non-endemic"
4254,"MWI28969","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4255,"MDG27895","IA","65A.xDA","Endemic (under MDA)"
4256,"MOZ33202","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4257,"MOZ33173","IA","65A.xIA","Endemic (under MDA)"
4258,"MOZ33181","IA","65A.xIA","Endemic (under MDA)"
4259,"ZMB50842","Rest","65A.IDA","Non-endemic"
4260,"MWI28954","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4261,"MWI28956","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4262,"AGO02187","Rest","65B.xxA","Non-endemic"
4263,"AGO02186","IA","65A.xIA","Non-endemic"
4264,"MOZ33207","IA","65A.xIA","Non-endemic"
4265,"MOZ33208","IA","65A.xIA","Endemic (under MDA)"
4266,"AGO02134","IA","65A.xIA","Non-endemic"
4267,"AGO02080","Rest","65B.xxA","Non-endemic"
4268,"AGO02082","Rest","65B.xxA","Non-endemic"
4269,"ZMB53169","Rest","65A.xDA","Endemic (MDA not delivered)"
4270,"ZMB50821","Rest","65A.xDA","Endemic (MDA not delivered)"
4271,"ZMB53190","Rest","65A.xDA","Endemic (MDA not delivered)"
4272,"ZMB50838","Rest","65A.IDA","Non-endemic"
4273,"AGO02135","IA","65A.xIA","Non-endemic"
4274,"ZMB53171","Rest","65A.IDA","Non-endemic"
4275,"MOZ33199","IA","65A.xIA","Non-endemic"
4276,"MDG27923","IA","65A.xDA","Endemic (MDA not delivered)"
4277,"ZMB50841","Rest","65A.IDA","Non-endemic"
4278,"MDG27925","IA","65A.xDA","Endemic (under MDA)"
4279,"AGO02128","IA","65A.xIA","Non-endemic"
4280,"ZMB50887","Rest","65A.xDA","Endemic (MDA not delivered)"
4281,"ZMB53168","Rest","65A.xDA","Endemic (MDA not delivered)"
4282,"ZMB53170","Rest","65A.IDA","Non-endemic"
4283,"ZMB50835","Rest","65A.IDA","Non-endemic"
4284,"MOZ33180","IA","65A.xIA","Endemic (under MDA)"
4285,"MOZ33226","IA","65A.xIA","Endemic (under MDA)"
4286,"AGO02079","Rest","65B.xxA","Non-endemic"
4287,"MWI28949","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4288,"MOZ33205","IA","65A.xIA","Endemic (under MDA)"
4289,"MDG27927","IA","65A.xDA","Endemic (MDA not delivered)"
4290,"ZMB50886","Rest","65A.xDA","Endemic (MDA not delivered)"
4291,"AGO02132","Rest","65B.xxA","Non-endemic"
4292,"MOZ33175","IA","65A.xIA","Endemic (under MDA)"
4293,"AGO02185","Rest","65B.xxA","Non-endemic"
4294,"ZMB50885","Rest","65A.xDA","Endemic (MDA not delivered)"
4295,"MOZ33230","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4296,"MOZ33191","IA","65A.xIA","Endemic (under MDA)"
4297,"MDG27921","IA","65A.xDA","Endemic (MDA not delivered)"
4298,"ZMB50823","Rest","65A.xDA","Endemic (MDA not delivered)"
4299,"MOZ33195","IA","65A.xIA","Endemic (under MDA)"
4300,"ZMB50819","Rest","65A.xDA","Endemic (MDA not delivered)"
4301,"MOZ33178","IA","65A.xIA","Endemic (under MDA)"
4302,"AGO02214","IA","65A.xIA","Non-endemic"
4303,"ZMB50818","Rest","65A.xDA","Endemic (MDA not delivered)"
4304,"MWI28965","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4305,"MOZ33187","IA","65A.xIA","Endemic (under MDA)"
4306,"ZMB53166","Rest","65A.xDA","Endemic (MDA not delivered)"
4307,"MOZ33233","IA","65A.xIA","Non-endemic"
4308,"MOZ33223","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4309,"MOZ33185","IA","65A.xIA","Endemic (under MDA)"
4310,"MOZ33190","IA","65A.xIA","Endemic (under MDA)"
4311,"AGO02221","Rest","65B.xxA","Non-endemic"
4312,"MOZ33203","IA","65A.xIA","Endemic (under MDA)"
4313,"AGO02137","IA","65A.xIA","Non-endemic"
4314,"MOZ33189","IA","65A.xIA","Endemic (under MDA)"
4315,"AGO02138","Rest","65B.xxA","Non-endemic"
4316,"ZMB53195","Rest","65A.xDA","Endemic (MDA not delivered)"
