"","IUID","pop"
"1078",1,548563
"1079",1,336458
"1080",1,348604
"1081",1,171991
"1082",1,386751
"1083",1,242717
"1084",1,123091
"1085",1,186034
"1086",1,189561
"1087",0,0
"1088",0,0
"1089",0,0
"1090",0,0
"1091",0,0
"1092",1,181744
"1093",1,53900
"1094",1,61466
"1095",1,58989
"1096",1,67265
"1097",1,79579
"1098",1,123808
"1099",1,95207
"1100",1,146397
"1101",0,0
"1102",1,79144
"1103",1,593075
"1104",1,325449
"1105",0,0
"1106",1,189561
"1107",1,189561
"1108",1,189561
"1109",0,0
"1110",0,0
"1111",1,87845
"1112",1,189561
"1113",0,0
"1114",0,0
"1115",0,0
"1116",0,0
"1117",0,0
"1118",0,0
"1119",1,38091
"1120",0,0
"1121",0,0
"1122",1,189819
"1123",1,189561
"1124",1,189561
"1125",0,0
"1126",0,0
"1127",0,0
"1128",0,0
"1129",0,0
"1130",1,421938
"1131",1,63599
"1132",1,148139
"1133",0,0
"1134",0,0
"1135",1,34574
"1136",1,39301
"1137",0,0
"1138",0,0
"1139",0,0
"1140",1,247594
"1141",0,0
"1142",1,483017
"1143",1,190360
"1144",1,243565
"1145",1,149613
"1146",0,0
"1147",1,83219
"1148",0,0
"1149",0,0
"1150",0,0
"1151",0,0
"1152",0,0
"1153",0,0
"1154",1,153155
"1155",0,0
"1156",0,0
"1157",1,134321
"1158",1,267471
"1159",1,66200
"1160",1,105193
"1161",1,91433
"1162",1,45957
"1163",1,250411
"1164",1,214086
"1165",0,0
"1166",0,0
"1167",0,0
"1168",0,0
"1169",1,157730
"1170",0,0
"1171",1,209456
"1172",0,0
"1173",1,269220
"1174",1,94524
"1175",1,76452
"1176",0,0
"1177",0,0
"1178",0,0
"1179",0,0
"1180",0,0
"1181",0,0
"1182",0,0
"1183",1,155696
"1184",0,0
"1185",0,0
"1186",1,324507
"1187",1,493085
"1188",1,306828
"1189",1,456509
"1190",0,0
"1191",1,165854
"1192",1,170132
"1193",1,148993
"1194",0,0
"1195",0,0
"1196",0,0
"1197",1,510624
"1198",1,41118
"1199",1,351862
"1200",0,0
"1201",0,0
"1202",1,325893
"1203",1,155835
"1204",0,0
"1205",0,0
"1206",0,0
"1207",1,250791
"1208",0,0
"1209",0,0
"1210",0,0
"1211",0,0
"1212",0,0
"1213",1,38773
"1214",0,0
"1215",0,0
"1216",1,60595
"1217",1,111372
"1218",1,88287
"1219",1,56376
"1220",0,0
"1221",0,0
"1222",1,268587
"1223",1,73544
"1224",1,92956
"1225",0,0
"1226",1,208254
"1227",1,119494
"1228",1,136521
"1229",1,183616
"1230",1,277819
"1231",1,30462
"1232",1,76471
"1233",0,0
"1234",1,68698
"1235",0,0
"1236",1,179200
"1237",1,72709
"1238",1,17859
"1239",0,0
"1240",0,0
"1241",0,0
"1242",1,934442
"1243",1,60336
"1244",1,143150
"1245",1,131599
"1246",0,0
"1247",0,0
"1248",0,0
"1249",0,0
"1250",1,85765
"1251",1,257587
"1252",1,369441
"1253",1,141045
"1254",1,53468
"1255",1,248526
"1256",0,0
"1257",1,73168
"1258",0,0
"1259",0,0
"1260",1,105821
"1261",1,454097
"1262",1,205493
"1263",1,117672
"1264",1,178091
"1265",1,112057
"1266",1,291860
"1267",1,262265
"1268",0,0
"1269",1,296410
"1270",1,177741
"1271",1,79285
"1272",1,125765
"1273",1,124564
"1274",0,0
"1275",1,61715
"1276",0,0
"1277",0,0
"1278",0,0
"1279",1,103673
"1280",1,96800
"1281",1,99980
"1282",0,0
"1283",1,303244
"1284",1,142430
"1285",1,250406
"1286",0,0
"1287",1,127579
"1288",1,336734
"1289",1,153311
"1290",0,0
"1291",0,0
"1292",0,0
"1293",0,0
"1294",0,0
"1295",1,179207
"1296",1,288742
"1297",1,171161
"1298",1,436120
"1299",0,0
"1300",1,293001
"1301",0,0
"1302",0,0
"1303",1,97065
"1304",0,0
"1305",0,0
"1306",1,102576
"1307",1,81137
"1308",0,0
"1309",1,71408
"1310",0,0
"1311",0,0
"1312",0,0
"1313",0,0
"1314",1,56029
"1315",0,0
"1316",0,0
"1317",0,0
"1318",1,591795
"1319",1,118003
"1320",1,278658
"1321",1,206508
"1322",1,245079
"1323",1,265635
"1324",1,31907
"1325",0,0
"1326",1,448378
"1327",1,219352
"1328",1,50042
"1329",1,136930
"1330",0,0
"1331",0,0
"1332",0,0
"1333",0,0
"1334",1,119394
"1335",0,0
"1336",0,0
"1337",0,0
"1338",0,0
"1339",0,0
"1340",0,0
"1341",0,0
"1342",1,252562
"1343",1,84540
"1344",0,0
"1345",0,0
"1346",0,0
"1347",0,0
"1348",0,0
"1349",1,664426
"1350",1,241430
"1351",1,86647
"1352",1,112739
"1353",1,67767
"1354",0,0
"1355",0,0
"1356",0,0
"1357",1,152159
"1358",0,0
"1359",1,208872
"1360",1,189767
"1361",0,0
"1362",1,213756
"1363",0,0
"1364",0,0
"1365",0,0
"1366",0,0
"1367",1,422811
"1368",1,228692
"1369",0,0
"1370",1,76772
"1371",1,25054
"1372",0,0
"1373",1,128488
"1374",1,280332
"1375",1,203136
"1376",1,217923
"1377",1,241607
"1378",1,91493
"1379",0,0
"1380",0,0
"1381",0,0
"1382",0,0
"1383",0,0
"1384",0,0
"1385",1,189561
"1386",0,0
"1387",1,282341
"1388",1,289373
"1389",0,0
"1390",1,181353
"1391",1,406566
"1392",1,116087
"1393",1,155500
"1394",1,285747
"1395",0,0
"1396",1,189561
"1397",0,0
"1398",1,169399
"1399",1,70135
"1400",0,0
"1401",0,0
"1402",0,0
"1403",0,0
"1404",0,0
"1405",1,329515
"1406",1,94489
"1407",1,162129
"1408",0,0
"1409",0,0
"1410",0,0
"1411",0,0
"1412",1,260769
"1413",1,332143
"1414",1,125063
"1415",1,248478
"1416",0,0
"1417",0,0
"1418",1,523766
"1419",0,0
"1420",0,0
"1421",0,0
"1422",0,0
"1423",1,379395
